pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000021868,BB&T Corp,25000,10000,15000,2018-03-26 00:00:00 +0000,34,"","",0,""
"","",D000035467,Loves Travel Stops & Country Stores,25000,0,25000,2018-03-26 00:00:00 +0000,34,"","",0,""
"","",D000036220,NHS Management,22500,0,22500,2018-03-26 00:00:00 +0000,36,"","",0,""
C00236489,"",D000000186,Koch Industries,22400,0,22400,2018-03-26 00:00:00 +0000,37,x,"",1,D000000186
"","",D000030211,Susquehanna International Group,22066,0,22066,2018-03-26 00:00:00 +0000,38,"","",0,""
C00100107,"",D000000491,American Beverage Assn,21900,15000,6900,2018-03-26 00:00:00 +0000,39,x,"",2,D000000491
"","",D000000662,WPP Group,21900,0,21900,2018-03-26 00:00:00 +0000,39,x,"",2,D000000662
C00142711,"",D000000100,Boeing Co,21850,10000,11850,2018-03-26 00:00:00 +0000,41,x,"",4,D000000100
C00227546,"",D000000115,Microsoft Corp,21400,10000,11400,2018-03-26 00:00:00 +0000,42,x,"",1,D000000115
C00105981,"",D000000262,Investment Co Institute,21000,20000,1000,2018-03-26 00:00:00 +0000,43,x,"",0,D000000262
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,20975,20000,975,2018-03-26 00:00:00 +0000,44,x,"",2,D000000198
C00449165,"",D000000274,Cintas Corp,20825,0,20825,2018-03-26 00:00:00 +0000,45,x,"",0,D000000274
"","",D000000121,American Financial Group,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000000589,Anschutz Corp,20800,0,20800,2018-03-26 00:00:00 +0000,46,x,"",0,D000000589
"","",D000047864,Bluff Point Assoc,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000032387,Castellini Co                           ,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000067126,Caxton Alternative Management,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000068980,Chandi Group USA,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000021982,Fierce Government Relations,20800,0,20800,2018-03-26 00:00:00 +0000,46,"",x,2,D000021982
"","",D000035667,Mason Capital Management,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000035778,Melaleuca Inc,20800,0,20800,2018-03-26 00:00:00 +0000,46,x,"",0,D000035778
"","",D000035960,Moneytree Inc,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000022190,Pilot Corp,20800,0,20800,2018-03-26 00:00:00 +0000,46,x,"",0,D000022190
"","",D000036850,Providence Equity Partners,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000022219,Renaissance Technologies,20800,0,20800,2018-03-26 00:00:00 +0000,46,x,"",0,D000022219
"","",D000037074,Reyes Holdings,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000037563,Sierra Pacific Industries,20800,0,20800,2018-03-26 00:00:00 +0000,46,x,"",0,D000037563
"","",D000068866,TigerRisk Partners,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
"","",D000068955,Villages of Lake Sumter,20800,0,20800,2018-03-26 00:00:00 +0000,46,"","",0,""
C00039206,"",D000000276,Williams & Jensen,20800,0,20800,2018-03-26 00:00:00 +0000,46,"",x,2,D000000276
C00128512,"",D000000103,JPMorgan Chase & Co,20450,10000,10450,2018-03-26 00:00:00 +0000,64,x,"",1,D000000103
C00211318,"",D000000131,Deloitte LLP,20430,15000,5430,2018-03-26 00:00:00 +0000,65,"","",0,""
C00040279,"",D000000383,Abbott Laboratories,20420,10000,10420,2018-03-26 00:00:00 +0000,66,"","",0,""
C00542092,"",D000065629,Concho Resources,20400,5000,15400,2018-03-26 00:00:00 +0000,67,"","",0,""
"","",D000042214,Crawford Group,20400,6000,14400,2018-03-26 00:00:00 +0000,67,"","",0,""
"","",D000030557,Truman Arnold Companies,20400,0,20400,2018-03-26 00:00:00 +0000,67,"","",0,""
"","",D000000089,FedEx Corp,20335,20000,335,2018-03-26 00:00:00 +0000,70,"","",0,""
C00076810,"",D000000155,General Motors,20250,20000,250,2018-03-26 00:00:00 +0000,71,x,"",1,D000000155
C00171926,"",D000069022,DowDuPont,20050,20000,50,2018-03-26 00:00:00 +0000,72,x,"",5,D000069022
C00384818,"",D000025214,CVS Health,20025,15000,5025,2018-03-26 00:00:00 +0000,73,"","",0,""
C00101485,"",D000025625,Ecolab Inc,20025,20000,25,2018-03-26 00:00:00 +0000,73,x,"",0,D000025625
C00284885,"",D000000419,Home Depot,20010,20000,10,2018-03-26 00:00:00 +0000,75,x,"",2,D000000419
C00012914,"",D000000608,American Land Title Assn,20000,20000,0,2018-03-26 00:00:00 +0000,76,x,"",0,D000000608
C00477653,"",D000000768,Cox Enterprises,20000,20000,0,2018-03-26 00:00:00 +0000,76,x,"",0,D000000768
C00204099,"",D000000408,Deere & Co,20000,10000,10000,2018-03-26 00:00:00 +0000,76,"","",0,""
"","",D000042029,Deutsche Telekom,20000,20000,0,2018-03-26 00:00:00 +0000,76,"","",0,""
C00311878,"",D000022110,Medtronic Inc,20000,20000,0,2018-03-26 00:00:00 +0000,76,x,"",1,D000022110
C00126763,"",D000000240,National Assn of Convenience Stores,20000,20000,0,2018-03-26 00:00:00 +0000,76,x,"",0,D000000240
C00130773,"",D000000755,National Multi Housing Council,20000,20000,0,2018-03-26 00:00:00 +0000,76,x,"",0,D000000755
C00624817,"",D000000139,Operating Engineers Union,20000,15000,5000,2018-03-26 00:00:00 +0000,76,"","",0,""
"","",D000022320,Wiley Rein LLP,19900,0,19900,2018-03-26 00:00:00 +0000,84,"",x,0,D000022320
"","",D000067823,Alphabet Inc,18900,13500,5400,2018-03-26 00:00:00 +0000,85,"","",0,""
C00251876,"",D000000391,Amgen Inc,18300,0,18300,2018-03-26 00:00:00 +0000,86,x,"",8,D000000391
"","",D000030285,"Tarplin, Downs & Young",17900,0,17900,2018-03-26 00:00:00 +0000,87,"",x,2,D000030285
C00088591,"",D000000170,Northrop Grumman,17750,17500,250,2018-03-26 00:00:00 +0000,88,x,"",3,D000000170
C00012880,"",D000000298,American Physical Therapy Assn,17500,17500,0,2018-03-26 00:00:00 +0000,89,x,"",0,D000000298
"","",D000066716,Rock Holdings,17300,0,17300,2018-03-26 00:00:00 +0000,90,"","",0,""
"","","",Resource Management Service LLC,16591,0,16591,2018-03-26 00:00:00 +0000,91,"","",0,""
C00034132,"",D000000277,Fluor Corp,16450,10000,6450,2018-03-26 00:00:00 +0000,92,"","",0,""
C00089136,"",D000000067,Altria Group,16400,5000,11400,2018-03-26 00:00:00 +0000,93,x,"",4,D000000067
"","",D000021994,Freeman Spogli & Co,16200,0,16200,2018-03-26 00:00:00 +0000,94,"","",0,""
C00219121,"",D000029023,Sheetz Inc,16200,0,16200,2018-03-26 00:00:00 +0000,94,"","",0,""
"","",D000064408,Liberty Mutual,15900,15000,900,2018-03-26 00:00:00 +0000,96,"","",0,""
"","",D000037403,SCF Partners,15900,0,15900,2018-03-26 00:00:00 +0000,96,"","",0,""
"","",D000000343,Northwestern Mutual,15890,10000,5890,2018-03-26 00:00:00 +0000,98,"","",0,""
"","",D000021912,Citadel LLC,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000021916,Clark & Wamberg,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000035251,Lanier Law Firm,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000062613,Nautic Partners,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000068061,Oberndorf Enterprises,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
C00016683,"",D000000138,Pfizer Inc,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000022217,Related Companies,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000059581,Select Medical Holdings,15800,5000,10800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","","",Strategic Equity Partners,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000022289,Tuttle-Click Automotive Group,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
C00369660,"",D000022306,Venable LLP,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
"","",D000068958,Veterans Evaluation Services,15800,0,15800,2018-03-26 00:00:00 +0000,99,"","",0,""
